                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                      1,                 48.279,                 51.424,                 3.6921,               0.070857,              0.0032381,              0.0032381,                      0,                      0,                      0,                      0,                 59.664,                 3.7706,                 2.7655
                      2,                 28.962,                 5.8709,                 3.3099,               0.040698,              0.0064122,              0.0064122
                      3,                 18.141,                 5.3518,                  2.975,              0.0099208,              0.0089684,              0.0089684,                      0,                      0,                      0,                      0,                 22.452,                 4.6898,                  2.147
                      4,                 17.754,                 5.2952,                 2.3688,              0.0079595,              0.0079595,              0.0079595
                      5,                 16.572,                 5.0011,                 2.3118,              0.0079595,              0.0079595,              0.0079595,                      0,                      0,                      0,                      0,                 64.605,                 3.5276,                 1.9209
                      6,                 13.245,                 4.8169,                 2.1786,              0.0065796,              0.0065796,              0.0065796
                      7,                 12.521,                 4.9257,                 2.1851,                0.00505,                0.00505,                0.00505,                      0,                      0,                      0,                      0,                  45.37,                 2.7758,                 2.0938
                      8,                 12.569,                 4.8048,                 2.1036,              0.0035204,              0.0035204,              0.0035204
                      9,                 12.326,                 4.7109,                 2.0654,              0.0021405,              0.0021405,              0.0021405,                0.00104,                0.27907,                0.00071,                0.00019,                 13.425,                 4.1967,                 1.7876
                     10,                 11.967,                 4.6845,                 2.0608,              0.0010454,              0.0010454,              0.0010454,                0.00066,                0.04651,                0.00052,                 0.0001,                 13.627,                 4.2265,                 1.7323
