                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                      1,                0.81128,                 10.538,                 2.3151,                0.07037,              0.0032922,              0.0032922,                0.00148,                 0.2625,                0.00099,                0.00019,                0.68801,                  3.888,                 1.6666
                      2,                0.62163,                 4.1734,                 1.6776,               0.040344,               0.006599,               0.006599,                0.00834,                    0.4,                0.04969,                0.00979,                 0.5904,                 3.7107,                 1.4306
                      3,                0.57355,                 3.7087,                 1.5357,               0.010291,              0.0098792,              0.0098792,                0.18173,                 0.1125,                0.06567,                0.01845,                0.58369,                 3.3071,                 1.4263
                      4,                0.56116,                 3.4177,                 1.5131,                0.00988,                0.00988,                0.00988,                0.47356,                  0.275,                 0.2127,                0.06541,                0.58192,                 2.7305,                 1.4115
                      5,                0.54335,                 3.2157,                 1.4855,                0.00988,                0.00988,                0.00988,                0.29865,                  0.275,                0.16022,                0.04633,                0.56087,                 3.1909,                 1.4438
                      6,                0.52981,                 2.9518,                 1.4886,                0.00984,                0.00984,                0.00984,                0.40625,                 0.2375,                0.16841,                0.03845,                  0.595,                 2.9238,                    1.5
                      7,                0.51101,                 2.8076,                 1.4196,                 0.0098,                 0.0098,                 0.0098,                0.40287,                 0.2875,                0.25603,                0.08696,                0.53409,                 2.8738,                 1.3844
                      8,                0.50333,                 2.6556,                 1.4327,                0.00976,                0.00976,                0.00976,                0.41506,                  0.325,                0.25206,                0.08566,                0.55407,                  2.569,                 1.3735
                      9,                 0.4933,                 2.4446,                 1.3467,                0.00972,                0.00972,                0.00972,                 0.4442,                 0.3625,                0.32581,                0.12031,                0.52309,                 2.2408,                 1.3104
                     10,                0.49847,                 2.4046,                 1.3734,                0.00968,                0.00968,                0.00968,                0.35486,                 0.2625,                0.18937,                0.05968,                0.51525,                 2.5506,                 1.2534
                     11,                0.48722,                 2.4547,                 1.3417,                0.00964,                0.00964,                0.00964,                 0.3801,                 0.3375,                0.29193,                  0.091,                0.50597,                 2.2397,                 1.2647
                     12,                0.48029,                 2.3091,                 1.3444,                 0.0096,                 0.0096,                 0.0096,                0.55295,                0.35567,                0.34456,                 0.1134,                0.53078,                 2.1853,                  1.326
                     13,                0.48502,                 2.3867,                 1.3449,                0.00956,                0.00956,                0.00956,                0.48841,                 0.3125,                0.32368,                0.11172,                0.51222,                 2.2944,                 1.2807
                     14,                0.48462,                 2.2597,                 1.3229,                0.00952,                0.00952,                0.00952,                0.39742,                  0.375,                0.30284,                0.10002,                0.48191,                 2.1728,                 1.1771
                     15,                 0.4638,                  2.059,                 1.3007,              0.0094801,              0.0094801,              0.0094801,                0.67761,                0.26274,                 0.3452,                0.12315,                0.48677,                 2.1054,                 1.2148
                     16,                0.46817,                 2.0888,                 1.3239,              0.0094401,              0.0094401,              0.0094401,                0.49687,                0.40741,                0.39657,                0.14199,                0.48563,                 2.0022,                 1.2191
                     17,                0.46704,                   2.08,                 1.3129,              0.0094001,              0.0094001,              0.0094001,                0.56148,                 0.4375,                0.38838,                0.14671,                0.49447,                 2.0339,                 1.2087
                     18,                0.45371,                 2.0497,                 1.2834,              0.0093601,              0.0093601,              0.0093601,                0.62635,                 0.4625,                0.50762,                0.17376,                0.49636,                 1.8374,                 1.2285
                     19,                0.45866,                 1.8941,                 1.2975,              0.0093201,              0.0093201,              0.0093201,                0.44637,                  0.425,                0.36112,                0.11621,                 0.5314,                 2.2106,                 1.2978
                     20,                0.46557,                 1.9426,                 1.3104,              0.0092801,              0.0092801,              0.0092801,                0.69453,                 0.3625,                 0.4439,                0.13282,                0.55276,                 1.9113,                 1.3386
                     21,                0.45809,                 1.9145,                 1.2813,              0.0092401,              0.0092401,              0.0092401,                0.47485,                0.37302,                 0.3336,                0.09364,                 0.6248,                 1.8316,                 1.5141
                     22,                0.44862,                  1.898,                 1.2686,              0.0092001,              0.0092001,              0.0092001,                0.57419,                 0.5125,                0.52785,                0.18071,                 0.4645,                 1.7947,                 1.2083
                     23,                0.45476,                 1.8821,                 1.2936,              0.0091601,              0.0091601,              0.0091601,                0.68801,                 0.5625,                0.53182,                0.18193,                0.49434,                  1.803,                 1.2483
                     24,                0.44848,                 1.8215,                 1.2627,              0.0091201,              0.0091201,              0.0091201,                0.72578,                 0.4375,                0.53727,                0.19194,                0.45301,                 1.8891,                 1.1826
                     25,                0.43765,                 1.7194,                 1.2427,              0.0090801,              0.0090801,              0.0090801,                0.72981,                  0.475,                0.56109,                 0.2028,                 0.4656,                 1.6948,                 1.1861
                     26,                0.43005,                 1.7599,                 1.2273,              0.0090401,              0.0090401,              0.0090401,                0.70415,                   0.55,                0.60292,                0.21459,                0.48617,                 1.6085,                 1.2094
                     27,                0.43676,                 1.7284,                 1.2573,              0.0090001,              0.0090001,              0.0090001,                0.47057,                 0.4375,                0.37348,                 0.1489,                0.44643,                 1.7707,                 1.1562
                     28,                0.43143,                 1.7247,                 1.2347,              0.0089601,              0.0089601,              0.0089601,                0.80769,                 0.4625,                0.57032,                 0.1998,                  0.486,                 1.6243,                 1.1967
                     29,                0.42718,                 1.7127,                 1.2256,              0.0089201,              0.0089201,              0.0089201,                0.84754,                    0.5,                  0.581,                0.23194,                0.46233,                  1.693,                 1.1764
                     30,                0.42059,                 1.6412,                 1.2144,              0.0088801,              0.0088801,              0.0088801,                0.78056,                 0.4875,                 0.5982,                0.17823,                0.50912,                 1.7815,                 1.2497
                     31,                0.42722,                 1.5885,                 1.2126,              0.0088401,              0.0088401,              0.0088401,                0.81087,                 0.6125,                0.66989,                 0.2411,                 0.4844,                 1.4959,                 1.2047
                     32,                0.42105,                 1.6146,                 1.2034,              0.0088001,              0.0088001,              0.0088001,                0.70628,                0.48097,                0.54338,                0.13997,                 0.5605,                 1.6609,                 1.3512
                     33,                0.42806,                 1.6758,                 1.2275,              0.0087601,              0.0087601,              0.0087601,                0.64846,                 0.5375,                0.54666,                0.14862,                0.53941,                 1.7982,                 1.3106
                     34,                0.42251,                 1.5763,                 1.2332,              0.0087201,              0.0087201,              0.0087201,                0.80774,                   0.55,                 0.6375,                0.21522,                0.48143,                 1.5045,                 1.2235
                     35,                0.42321,                 1.5612,                 1.2436,              0.0086801,              0.0086801,              0.0086801,                0.79349,                   0.55,                0.61833,                0.23998,                0.45435,                 1.7102,                 1.1652
                     36,                 0.4225,                  1.589,                 1.2185,              0.0086401,              0.0086401,              0.0086401,                0.68188,                0.64307,                0.66146,                0.21299,                0.50181,                 1.4413,                 1.2125
                     37,                 0.4182,                 1.6243,                 1.2009,              0.0086001,              0.0086001,              0.0086001,                0.62069,                 0.5625,                0.55752,                0.18134,                0.51077,                 1.5254,                 1.2641
