                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
1,18.966,23.22,2.4555,0.070857,0.0032381,0.0032381,0,0,0,0,13.867,6.5549,1.9054
2,9.2774,6.6692,1.6478,0.040857,0.0065713,0.0065713,                  3e-05,0.02326,                  2e-05,0,12.546,4.1031,1.872
3,7.7331,4.9439,1.568,0.010856,0.0099037,0.0099037,0.0001,0.06977,                  6e-05,                  1e-05,14.586,4.4394,2.3457
4,7.1062,4.4598,1.513,0.0099976,0.0099976,0.0099976,0.00254,0.04651,0.00059,0.00011,13.973,287.45,3.3408
5,7.4293,4.4212,1.4749,0.0099976,0.0099976,0.0099976,0.00172,0.02326,0.00028,                  8e-05,12.515,41.288,2.4505
6,7.4289,3.9101,1.5705,0.0099957,0.0099957,0.0099957,0.20422,0.11628,0.06251,0.02953,11.505,5.6587,1.9858
7,7.0696,3.8657,1.4195,0.0099932,0.0099932,0.0099932,0.288,0.04651,0.0381,0.01983,10.272,5.7988,1.5417
8,7.0285,3.5987,1.4508,0.0099902,0.0099902,0.0099902,0.49328,0.02326,0.02566,0.00601,13.808,15.349,2.6886
9,6.8002,3.3782,1.4215,0.0099867,0.0099867,0.0099867,0.33977,0.09302,0.069,0.02047,9.7939,8.6333,1.6156
10,6.9097,3.3149,1.4439,0.0099826,0.0099826,0.0099826,0.36968,0.02326,0.01737,0.0052,11.374,4.5607,1.5454
11,6.8174,3.3456,1.4192,0.009978,0.009978,0.009978,0.54118,0.02326,0.02715,0.00576,11.757,4.5373,1.7962
12,6.8073,3.5608,1.4869,0.0099729,0.0099729,0.0099729,0.27374,0.13953,0.08989,0.0261,9.4251,3.7589,1.5377
13,6.6989,3.2121,1.4323,0.0099672,0.0099672,0.0099672,0.85659,0.02326,0.0298,0.01934,12.428,4.3708,1.7656
14,6.9128,3.1039,1.4386,0.009961,0.009961,0.009961,0.65766,0.16279,0.15045,0.0625,8.8735,4.2486,1.4965
15,6.9001,3.0704,1.4549,0.0099542,0.0099542,0.0099542,0.29286,0.16279,0.13852,0.06266,8.9559,3.5553,1.4911
16,6.503,2.802,1.4654,0.0099469,0.0099469,0.0099469,0.4335,0.02326,0.01915,0.00521,10.963,3.5937,1.7752
17,6.8378,3.016,1.446,0.0099391,0.0099391,0.0099391,0.44321,0.30233,0.2253,0.05144,9.9769,3.0712,1.6566
18,6.7724,2.9644,1.4631,0.0099307,0.0099307,0.0099307,0.00217,0.16279,0.00236,0.00053,10.602,4.9441,1.5713
